canonical_drug_id,n_pairs,n_samples,drug_name,mean_y_pred,median_y_pred,q25_y_pred,q75_y_pred,mean_y_true,median_y_true,pred_top5_rate,pred_top10_rate,pred_top20_rate,true_top10_rate,true_top20_rate,mean_abs_error,canonical_smiles,has_valid_smiles,target_list,target,target_pathway,match_source,has_smiles,mean_pred_score,top20_score,top10_score,observed_score,error_score,coverage_score,final_selection_score,final_rank,drug_group_key,n_screening_entries,all_canonical_drug_ids,duplicate_best_score,duplicate_mean_score,duplicate_best_pred_top20_rate,liver_relevance_class,rdkit_valid_smiles,mol_weight,logp,tpsa,hbd,hba,rot_bonds,pains_alert_count,lipinski_violations,admet_ames_nearest_y,admet_ames_nearest_similarity,admet_ames_good_flag,admet_dili_nearest_y,admet_dili_nearest_similarity,admet_dili_good_flag,admet_herg_nearest_y,admet_herg_nearest_similarity,admet_herg_good_flag,admet_hia_hou_nearest_y,admet_hia_hou_nearest_similarity,admet_hia_hou_good_flag,admet_bioavailability_ma_nearest_y,admet_bioavailability_ma_nearest_similarity,admet_bioavailability_ma_good_flag,admet_pgp_broccatelli_nearest_y,admet_pgp_broccatelli_nearest_similarity,admet_pgp_broccatelli_good_flag,admet_caco2_wang_nearest_y,admet_caco2_wang_nearest_similarity,admet_caco2_wang_good_flag,admet_half_life_obach_nearest_y,admet_half_life_obach_nearest_similarity,admet_half_life_obach_good_flag,admet_solubility_aqsoldb_nearest_y,admet_solubility_aqsoldb_nearest_similarity,admet_solubility_aqsoldb_good_flag,admet_lipophilicity_astrazeneca_nearest_y,admet_lipophilicity_astrazeneca_nearest_similarity,admet_lipophilicity_astrazeneca_good_flag,admet_strict_pass,admet_good_signal_count,admet_adjusted_score,admet_filtered_rank
1003,15,15,Camptothecin,0.52143025,0.17600414,-0.24361439049243927,1.22910875082016,-0.93583894,-1.294397,0.06666666666666667,0.6,0.9333333333333333,0.13333333333333333,0.6,1.5601997,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1,TOP1,TOP1,DNA replication,chembl_norm,1,0.9504132231404959,0.9380165289256198,0.9628099173553719,0.9256198347107438,0.34710743801652894,0.5929752066115702,0.8974173553719008,6,camptothecin,1,1003,0.8974173553719008,0.8974173553719008,0.9333333333333333,repurposing_candidate_unclear_liver_relation,1,348.35800000000006,2.0796,81.42,1,6,1,0,0,1.0,0.24324324324324326,0,0.0,0.6571428571428571,0,0.0,0.4594594594594595,0,1.0,0.20388349514563106,0,1.0,0.6571428571428571,0,0.0,1.0,1,-4.1100001000000015,1.0,1,6.7,0.5189873417721519,0,-3.72,0.28378378378378377,0,0.31,0.6571428571428571,0,True,2,0.8974173553719008,1
1031,1,1,Elesclomol,-1.2173902,-1.2173902,-1.2173901796340942,-1.2173901796340942,-4.539903,-4.539903,0.0,1.0,1.0,1.0,1.0,3.322513,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,1,HSP90,HSP90,Protein stability and degradation,chembl_norm,1,0.9958677685950413,0.9731404958677686,0.9896694214876033,0.9958677685950413,0.09090909090909091,0.026859504132231406,0.8955578512396694,9,elesclomol,1,1031,0.8955578512396694,0.8955578512396694,1.0,repurposing_candidate_unclear_liver_relation,1,400.5290000000001,2.0539000000000005,64.68,2,4,4,0,0,1.0,0.5,0,1.0,0.2727272727272727,0,0.0,0.26666666666666666,0,1.0,0.35,0,1.0,0.30434782608695654,0,0.0,0.3157894736842105,0,-4.0050001,0.3548387096774194,0,0.59,0.3333333333333333,0,0.42,0.43243243243243246,0,1.18,0.35,0,True,0,0.8955578512396694,2
1529,15,15,Pevonedistat,0.6122827,0.5954721,-0.018673717975616455,1.0428354144096375,2.3599846,2.586827,0.0,0.2,1.0,0.0,0.06666666666666667,2.1232533,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,1,NAE,NAE,Other,chembl_norm,1,0.9462809917355371,0.9731404958677686,0.9421487603305785,0.7479338842975206,0.19421487603305784,0.5929752066115702,0.8673553719008263,12,pevonedistat,1,1529,0.8673553719008263,0.8673553719008263,1.0,repurposing_candidate_unclear_liver_relation,1,443.5290000000002,2.0627999999999997,132.35999999999999,3,8,6,0,0,0.0,0.22115384615384615,0,1.0,0.20408163265306123,0,1.0,0.1926605504587156,0,1.0,0.19540229885057472,0,1.0,0.20408163265306123,0,1.0,0.20833333333333334,0,-4.729893700000001,0.1919191919191919,0,1.0,0.2087912087912088,0,-1.9515,0.25301204819277107,0,2.7,0.22772277227722773,0,True,0,0.8673553719008263,3
1024,15,15,Lestaurtinib,1.1819209,0.8408981,0.5216724425554276,1.8621205687522888,0.87756926,1.041565,0.0,0.0,0.7333333333333333,0.0,0.2,1.0173144,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,1,FLT3|JAK2|NTRK1|NTRK2|NTRK3,"FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases",chembl_norm,1,0.9090909090909091,0.9194214876033058,0.4628099173553719,0.8677685950413223,0.6157024793388429,0.5929752066115702,0.8080578512396693,14,lestaurtinib,1,1024,0.8080578512396693,0.8080578512396693,0.7333333333333333,repurposing_candidate_unclear_liver_relation,1,439.47100000000023,3.474400000000002,88.65,3,6,1,0,0,1.0,0.27058823529411763,0,1.0,0.21176470588235294,0,1.0,0.22093023255813954,0,1.0,0.2235294117647059,0,1.0,0.21176470588235294,0,0.0,0.22826086956521738,0,-4.9593034000000005,0.19148936170212766,0,790.0,0.40229885057471265,0,-5.84,0.2261904761904762,0,3.5,0.22093023255813954,0,True,0,0.8080578512396693,4
1053,15,15,MK-2206,1.2128116,1.1990921,0.8766247034072876,1.7523714303970337,3.4295423,3.538432,0.0,0.06666666666666667,0.7333333333333333,0.0,0.0,2.2167308,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,1,AKT1|AKT2,"AKT1, AKT2",PI3K/MTOR signaling,chembl_norm,1,0.9049586776859504,0.9194214876033058,0.9318181818181818,0.5454545454545454,0.17355371900826447,0.5929752066115702,0.8065082644628099,15,mk2206,1,1053,0.8065082644628099,0.8065082644628099,0.7333333333333333,repurposing_candidate_unclear_liver_relation,1,407.4770000000002,4.242700000000003,89.07,2,5,3,0,0,0.0,0.24285714285714285,0,1.0,0.208955223880597,0,1.0,0.23376623376623376,0,1.0,0.2361111111111111,0,1.0,0.2111111111111111,0,0.0,0.2361111111111111,0,-5.0582528,0.2,0,46.0,0.2361111111111111,0,-6.39,0.24675324675324675,0,2.5,1.0,1,True,1,0.8065082644628099,5
1034,15,15,Staurosporine,1.2752311,1.2400025,0.6102042496204376,1.6477928757667542,-2.492642,-2.453771,0.0,0.0,0.8,0.5333333333333333,1.0,3.767873,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,1,BROAD SPECTRUM KINASE INHIBITOR,Broad spectrum kinase inhibitor,RTK signaling,chembl_norm,1,0.9008264462809917,0.9256198347107438,0.4628099173553719,0.9669421487603306,0.08264462809917356,0.5929752066115702,0.7949380165289255,16,staurosporine,1,1034,0.7949380165289255,0.7949380165289255,0.8,repurposing_candidate_unclear_liver_relation,1,466.5410000000003,4.354000000000003,69.45,2,6,2,0,0,1.0,0.24444444444444444,0,1.0,0.16666666666666666,0,1.0,0.1978021978021978,0,1.0,0.2,0,1.0,0.20833333333333334,0,0.0,0.21875,0,-4.729893700000001,0.20833333333333334,0,790.0,0.726027397260274,1,-3.96,0.20212765957446807,0,1.29,0.2,0,True,1,0.7949380165289255,6
1873,15,15,Buparlisib,1.9233205,1.7003288,1.4639301896095276,2.377968907356262,1.3932569,1.314257,0.0,0.0,0.06666666666666667,0.0,0.0,0.5754424,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,1,PI3KALPHA|PI3KBETA|PI3KDELTA|PI3KGAMMA,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling,chembl_norm,1,0.8636363636363636,0.8822314049586777,0.4628099173553719,0.8305785123966942,0.9669421487603306,0.5929752066115702,0.7948347107438016,17,buparlisib,1,1873,0.7948347107438016,0.7948347107438016,0.06666666666666667,repurposing_candidate_unclear_liver_relation,1,410.4000000000002,1.8128000000000002,89.63,1,8,3,0,0,1.0,0.22058823529411764,0,0.0,0.23333333333333334,0,1.0,0.21518987341772153,0,1.0,0.22077922077922077,0,1.0,0.23728813559322035,0,0.0,0.3684210526315789,0,-4.5999999,0.26666666666666666,0,4.5,0.22077922077922077,0,-1.94,0.23728813559322035,0,2.7,1.0,1,True,1,0.7948347107438016,7
1862,15,15,MG-132,1.351274,1.3860024,0.9237685799598694,1.7286366820335388,-0.88976574,-1.249479,0.0,0.0,0.6666666666666666,0.13333333333333333,0.6,2.2410398,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,1,CAPN1|PROTEASOME,"Proteasome, CAPN1",Protein stability and degradation,chembl_norm,1,0.8966942148760331,0.9132231404958677,0.4628099173553719,0.9214876033057852,0.15702479338842976,0.5929752066115702,0.787293388429752,18,mg132,1,1862,0.787293388429752,0.787293388429752,0.6666666666666666,repurposing_candidate_unclear_liver_relation,1,475.6300000000002,3.5882000000000014,113.60000000000001,3,5,14,0,0,0.0,0.4032258064516129,0,1.0,0.32857142857142857,0,1.0,0.26595744680851063,0,1.0,0.2857142857142857,0,1.0,0.2857142857142857,0,0.0,0.2571428571428571,0,-5.2142239,0.4727272727272727,0,12.0,0.2549019607843137,0,-3.74,0.43103448275862066,0,2.6,0.43636363636363634,0,True,0,0.787293388429752,8
2043,15,15,BIBR-1532,0.43959025,0.5132298,-0.11781732365489006,0.9820782542228699,5.2425017,5.34804,0.06666666666666667,0.5333333333333333,1.0,0.0,0.0,4.8029118,CC(=CC(=O)NC1=CC=CC=C1C(=O)O)C2=CC3=CC=CC=C3C=C2,1,TERT,TERT,Genome integrity,pubchem_api,1,0.9586776859504132,0.9731404958677686,0.9586776859504132,0.1487603305785124,0.0371900826446281,0.5929752066115702,0.7764462809917355,19,bibr1532,1,2043,0.7764462809917355,0.7764462809917355,1.0,repurposing_candidate_unclear_liver_relation,1,331.37100000000004,4.580000000000003,66.4,2,2,4,0,0,0.0,0.36,0,0.0,0.3125,0,0.0,0.22641509433962265,0,1.0,0.36,0,1.0,0.25396825396825395,0,1.0,0.3472222222222222,0,-4.0050001,0.2619047619047619,0,0.26,0.3125,0,-2.8784,0.4186046511627907,0,-0.12,0.41304347826086957,0,True,0,0.7764462809917355,9
1494,15,15,SN-38,1.9073075,1.7071309,1.186137080192566,2.5792139768600464,-2.302257,-2.723741,0.0,0.0,0.2,0.5333333333333333,0.9333333333333333,4.2095647,CCC1=C2C=C(O)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)[C@]2(O)CC)C1=O,1,TOP1,TOP1,DNA replication,drugbank_name,1,0.8677685950413223,0.9008264462809917,0.4628099173553719,0.9586776859504132,0.06611570247933884,0.5929752066115702,0.775103305785124,21,sn38,1,1494,0.775103305785124,0.775103305785124,0.2,repurposing_candidate_unclear_liver_relation,1,392.4110000000002,2.3476,101.65,2,7,2,0,0,1.0,0.23595505617977527,0,0.0,0.6575342465753424,0,0.0,0.2988505747126437,0,1.0,0.20253164556962025,0,1.0,0.6575342465753424,0,0.0,0.6086956521739131,0,-4.1100001000000015,0.6086956521739131,0,9.0,0.6385542168674698,0,-2.106,0.2465753424657534,0,1.6,1.0,1,True,1,0.775103305785124,10
